School,EMIS CODE,Province,DIST_EN,DIST_PCODE,Address,Local Level,Latitude,Longitude,Date,Program,Partner,OLPC Laptops,RPI Computers,Offline Server,Network Cable (mtr),Wireless Router,Switch,Power strip,Desks/ benches,Flex,Pen drive,SD Card Reader,Inverter,Solar panel,Battery,Teachers Trained
Tyadi Basic School,,,BAJHANG,NP0767,Koldhunga, Bhairabnath ,Kedarseu Rural Municipality,,,2019,DL 2019 Far West ,UN WFP,36,0.0,1,,2,1,16,15,2,1,0.0,,,,
Kalika Bhagwati Basic School,,,BAJHANG,NP0767,Malla Bhatada, Deulekh ,Bithadchir Rural Municipality,,,2019,DL 2019 Far West ,UN WFP,30,0.0,1,,2,1,14,13,2,1,0.0,,,,
Sidhiganesh Basic School,,,BAJHANG,NP0767,Bakhet, Baanjh ,Kedarseu Rural Municipality,,,2019,DL 2019 Far West ,UN WFP,19,0.0,1,,1,1,9,8,2,1,0.0,,,,
Shiv Bhawani Basic School,,,BAJHANG,NP0767,Talla Bhatada, Deulekh ,Bithadchir Rural Municipality,,,2019,DL 2019 Far West ,UN WFP,29,0.0,1,,2,1,12,11,2,1,0.0,,,,
Bhumiraj Basic School,,,BAJHANG,NP0767,Suwakot, Sunkuda ,Bithadchir Rural Municipality,,,2019,DL 2019 Far West ,UN WFP,35,0.0,1,,2,1,14,13,2,1,0.0,,,,
Bhumiraj Basic School,,,BAJHANG,NP0767,Udi, Sunkuda ,Bithadchir Rural Municipality,,,2019,DL 2019 Far West ,UN WFP,21,0.0,1,,2,1,9,8,2,1,0.0,,,,
Bhairav Basic School,,,BAJHANG,NP0767,Damaune, Khriratadi ,Bungal Municipality,,,2019,DL 2019 Far West ,UN WFP,17,0.0,1,,1,1,8,7,2,1,0.0,,,,
Deepjyoti Basic School,,,BAJHANG,NP0767,Komalpur, Deulikot ,Bungal Municipality,,,2019,DL 2019 Far West ,UN WFP,19,0.0,1,,1,1,8,7,2,1,0.0,,,,
Manakamana Basic School,,,BAJHANG,NP0767,Malla Gaun, Syadi,Bithadchir Rural Municipality,,,2019,DL 2019 Far West ,UN WFP,29,0.0,1,,2,1,12,11,2,1,0.0,,,,
Aishwarya Basic School,,,BAJHANG,NP0767,Moyal, Parakatne ,Thalara Rural Municipality,,,2019,DL 2019 Far West ,UN WFP,16,0.0,1,,1,1,8,7,2,1,0.0,,,,
Kedar Namuna Basic School,,,BAJHANG,NP0767,Khulmore,Bithadchir Rural Municipality,,,2019,DL 2019 Far West ,UN WFP,21,0.0,1,20,2,1,8,7,2,1,0.0,4,2,,
Chirasaini Basic School,,,BAJHANG,NP0767,Mantola,Bithadchir Rural Municipality,,,2019,DL 2019 Far West ,UN WFP,19,0.0,1,10,1,1,8,7,2,1,0.0,4,2,,
Masta Basic School,,,BAJHANG,NP0767,Padpakha,Bithadchir Rural Municipality,,,2019,DL 2019 Far West ,UN WFP,26,0.0,1,20,2,1,10,9,2,1,0.0,,,,
Kalika Basic School,,,BAJHANG,NP0767,Gobindadhar,Bithadchir Rural Municipality,,,2019,DL 2019 Far West ,UN WFP,42,0.0,1,20,2,1,15,14,2,1,0.0,,,,
Bhawaneshwori Basic School,,,BAJHANG,NP0767,Khiratadi,Bungal Municipality,,,2019,DL 2019 Far West ,UN WFP,17,0.0,1,10,1,1,7,6,2,1,0.0,4,2,,
Janachetana Basic School,,,BAJHANG,NP0767,Singhechula,Kedarseu Rural Municipality,,,2019,DL 2019 Far West ,UN WFP,12,0.0,1,10,1,1,5,4,2,1,0.0,4,2,,
