FL6_cleaned1,FL6_cleaned2,FL7,FL9A,FL13_cleaned,FL15,FL17,FL19_cleaned,FL21B_cleaned1,FL21B_cleaned2,FL21B_cleaned3,FL21B_cleaned4,FL21B_cleaned5,FL21G_cleaned,FL21I,FL21K,FL21O_cleaned,FL22_cleaned1,FL22_cleaned2,FL22_cleaned3,FL22_cleaned4,FL22_cleaned5,FL23_cleaned1,FL23_cleaned2,FL23_cleaned3,FL23_cleaned4,FL23_cleaned5,FL23_cleaned6,FL24_cleaned1,FL24_cleaned2,FL24_cleaned3,FL24_cleaned4,FL24_cleaned5,FL25_cleaned1,FL25_cleaned2,FL25_cleaned3,FL25_cleaned4,FL25_cleaned5,FL26,FL26C,FL27_cleaned1,FL27_cleaned2,FL27_cleaned3,FL27_cleaned4,FL27_cleaned5,school,grade,studentAge,studentGender,elapsedTime,anon_id,export_datetime
Yes,Yes,Tibetan,Nepali,14,Correct,Correct,61,Correct,Correct,Correct,Correct,Correct,16,Correct,Correct,48,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Ghami Solar Basic School,Grade 6,13,Female,8:05:00,66ec752e36,2026-01-01 07:47:18
Yes,No,Tibetan,Nepali,14,Correct,Correct,60,Correct,Correct,Correct,Correct,Correct,16,Correct,Correct,48,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Ghami Solar Basic School,Grade 6,14,Female,8:22:00,71a2b368f2,2026-01-01 07:47:18
Yes,No,Tibetan,Nepali,14,Correct,Correct,59,Correct,Correct,Correct,Correct,Correct,16,Correct,Incorrect,,,,,,,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Ghami Solar Basic School,Grade 6,14,Male,6:00:00,aa24cab17c,2026-01-01 07:47:18
Yes,Yes,Tibetan,Nepali,14,Correct,Correct,61,Correct,Correct,Correct,Correct,Correct,16,Correct,Correct,48,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Ghami Solar Basic School,Grade 6,13,Female,6:17:00,3e4e0f16f4,2026-01-01 07:47:18
Yes,No,Tibetan,Nepali,14,Correct,Correct,61,Correct,Correct,Correct,Correct,Correct,16,Correct,Correct,48,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Incorrect,Correct,Correct,Incorrect,Correct,Correct,Correct,Correct,Correct,Incorrect,Correct,Ghami Solar Basic School,Grade 6,13,Female,8:05:00,6fbbc02387,2026-01-01 07:47:18
Yes,Yes,Tibetan,Nepali,14,Correct,Correct,59,Correct,Incorrect,Incorrect,Correct,Correct,15,,,,,,,,,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Incorrect,Correct,Ghami Solar Basic School,Grade 6,13,Female,10:00:00,6f23c1ee6d,2026-01-01 07:47:18
Yes,Yes,Tibetan,Nepali,14,Correct,Correct,60,Correct,Correct,Correct,Correct,Correct,16,Correct,Correct,48,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Incorrect,Correct,Correct,Correct,Correct,Correct,Ghami Solar Basic School,Grade 7,15,Female,7:26:00,68bbb32c67,2026-01-01 07:47:18
Yes,No,Tibetan,Nepali,14,Correct,Correct,61,Correct,Correct,Correct,Correct,Correct,16,Correct,Correct,48,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Ghami Solar Basic School,Grade 7,14,Female,8:49:00,0971ea6935,2026-01-01 07:47:18
Yes,No,Tibetan,Nepali,14,Correct,Correct,61,Correct,Correct,Correct,Correct,Correct,16,Correct,Correct,48,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Ghami Solar Basic School,Grade 7,14,Female,8:10:00,878495eed7,2026-01-01 07:47:18
Yes,Yes,Tibetan,Nepali,14,Correct,Incorrect,,,,,,,16,Correct,Correct,47,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Incorrect,Correct,Ghami Solar Basic School,Grade 7,14,Female,6:18:00,b0d5f39864,2026-01-01 07:47:18
Yes,Yes,Tibetan,Nepali,14,Correct,Correct,61,Correct,Correct,Correct,Correct,Correct,16,Correct,Correct,48,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Incorrect,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Ghami Solar Basic School,Grade 7,15,Female,5:09:00,b61a51de61,2026-01-01 07:47:18
Yes,No,Tibetan,Nepali,14,Correct,Correct,61,Correct,Correct,Correct,Correct,Correct,16,Correct,Correct,47,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Ghami Solar Basic School,Grade 7,15,Female,7:49:00,9bb1333935,2026-01-01 07:47:18
Yes,No,Tibetan,Nepali,14,Correct,Correct,61,Correct,Correct,Correct,Correct,Correct,15,Correct,Correct,48,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Ghami Solar Basic School,Grade 7,14,Female,7:17:00,6a3feb71d9,2026-01-01 07:47:18
Yes,No,Tibetan,Nepali,14,Correct,Correct,61,Correct,Correct,Correct,Correct,Correct,16,Correct,Correct,48,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Ghami Solar Basic School,Grade 7,15,Female,6:59:00,7333b57cc2,2026-01-01 07:47:18
Yes,No,Tibetan,Nepali,14,Correct,Incorrect,,,,,,,16,No response,,,,,,,,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Incorrect,Correct,Incorrect,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Ghami Solar Basic School,Grade 7,16,Male,5:34:00,c420bfc9c9,2026-01-01 07:47:18
Yes,No,Tibetan,Tibetan,14,No response,,,,,,,,14,,,,,,,,,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Incorrect,Correct,Correct,Correct,Correct,Correct,Ghami Solar Basic School,Grade 3,11,Female,6:00:00,80b7daa58d,2026-01-01 07:47:18
Yes,No,Tibetan,Tibetan,14,Correct,Correct,59,,,,,,16,Correct,Correct,43,,,,,,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Incorrect,Ghami Solar Basic School,Grade 4,11,Male,10:10:00,330c6fce30,2026-01-01 07:47:18
Yes,Yes,Tibetan,Tibetan,14,Correct,Correct,58,Correct,Correct,Correct,Incorrect,No response,15,Correct,Correct,45,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Ghami Solar Basic School,Grade 4,10,Female,14:14:00,613e39d216,2026-01-01 07:47:18
Yes,Yes,Tibetan,Tibetan,14,Correct,Correct,58,Correct,Incorrect,No response,No response,No response,12,Correct,Correct,5,Incorrect,Correct,Correct,No response,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Ghami Solar Basic School,Grade 4,10,Female,18:11:00,40711258cf,2026-01-01 07:47:18
Yes,No,Tibetan,Tibetan,14,Correct,Incorrect,,,,,,,16,Correct,Incorrect,,,,,,,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Ghami Solar Basic School,Grade 5,12,Female,7:54:00,a5f5a9fd3b,2026-01-01 07:47:18
Yes,No,Tibetan,Tibetan,14,Correct,Correct,57,Correct,Correct,Correct,Correct,Correct,14,,,,,,,,,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Incorrect,Correct,Correct,Correct,Correct,Incorrect,Correct,Correct,Correct,Correct,Correct,Ghami Solar Basic School,Grade 5,14,Male,6:39:00,a00f19a45c,2026-01-01 07:47:18
Yes,No,Tibetan,Tibetan,14,Incorrect,,,,,,,,14,,,,,,,,,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Incorrect,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,No response,Ghami Solar Basic School,Grade 5,12,Female,5:58:00,dfb9099c15,2026-01-01 07:47:18
